[2026-07-13T08:22:12.113084] Pipeline run FAILED (task: parse_excel_to_bronze) - {'DAG Id': 'energy_pipeline_dag', 'Task Id': 'parse_excel_to_bronze', 'Run Id': 'manual__2026-07-13T07:53:52.846694+00:00', 'Hostname': '3fcbb972e02b'}
[2026-07-13T09:27:14.832265] Pipeline run FAILED (task: parse_excel_to_bronze) - {'DAG Id': 'energy_pipeline_dag', 'Task Id': 'parse_excel_to_bronze', 'Run Id': 'manual__2026-07-13T09:03:44.416636+00:00', 'Hostname': '33256923e651'}
[2026-07-13T10:19:12.098617] Pipeline run FAILED (task: parse_excel_to_bronze) - {'DAG Id': 'energy_pipeline_dag', 'Task Id': 'parse_excel_to_bronze', 'Run Id': '__airflow_temporary_run_2026-07-13T09:26:29.287113+00:00__', 'Hostname': '4adac29b9c8f'}
[2026-07-13T10:46:54.765798] Pipeline run FAILED (task: parse_excel_to_bronze) - {'DAG Id': 'energy_pipeline_dag', 'Task Id': 'parse_excel_to_bronze', 'Run Id': 'manual__2026-07-13T10:13:41.599269+00:00', 'Hostname': '4adac29b9c8f'}
[2026-07-13T12:20:01.373825] Pipeline run FAILED (task: parse_excel_to_bronze) - {'DAG Id': 'energy_pipeline_dag', 'Task Id': 'parse_excel_to_bronze', 'Run Id': 'manual__2026-07-13T10:14:21.186704+00:00', 'Hostname': 'def5101485ad'}
[2026-07-13T12:20:01.451840] Pipeline run FAILED (task: parse_excel_to_bronze) - {'DAG Id': 'energy_pipeline_dag', 'Task Id': 'parse_excel_to_bronze', 'Run Id': 'manual__2026-07-13T10:14:21.186704+00:00', 'Hostname': 'def5101485ad'}
[2026-07-14T08:12:34.044053] Pipeline run FAILED (task: parse_excel_to_bronze) - Task received SIGTERM signal
[2026-07-14T08:32:43.196248] Pipeline run FAILED (task: parse_excel_to_bronze) - {'DAG Id': 'energy_pipeline_dag', 'Task Id': 'parse_excel_to_bronze', 'Run Id': 'scheduled__2026-07-14T07:45:00+00:00', 'Hostname': 'f293ee458a90'}
[2026-07-14T09:00:02.371129] Pipeline run FAILED (task: parse_excel_to_bronze) - {'DAG Id': 'energy_pipeline_dag', 'Task Id': 'parse_excel_to_bronze', 'Run Id': 'scheduled__2026-07-14T08:15:00+00:00', 'Hostname': 'f293ee458a90'}
[2026-07-14T09:27:33.406554] Pipeline run FAILED (task: parse_excel_to_bronze) - {'DAG Id': 'energy_pipeline_dag', 'Task Id': 'parse_excel_to_bronze', 'Run Id': 'scheduled__2026-07-14T08:45:00+00:00', 'Hostname': 'f293ee458a90'}
[2026-07-14T09:43:58.250549] Pipeline run FAILED (task: parse_excel_to_bronze) - {'DAG Id': 'energy_pipeline_dag', 'Task Id': 'parse_excel_to_bronze', 'Run Id': 'scheduled__2026-07-14T09:00:00+00:00', 'Hostname': 'f293ee458a90'}
[2026-07-14T09:58:58.454961] Pipeline run FAILED (task: parse_excel_to_bronze) - {'DAG Id': 'energy_pipeline_dag', 'Task Id': 'parse_excel_to_bronze', 'Run Id': 'scheduled__2026-07-14T09:15:00+00:00', 'Hostname': 'f293ee458a90'}
[2026-07-14T10:41:37.336762] Pipeline run FAILED (task: parse_excel_to_bronze) - {'DAG Id': 'energy_pipeline_dag', 'Task Id': 'parse_excel_to_bronze', 'Run Id': 'scheduled__2026-07-14T09:30:00+00:00', 'Hostname': 'f293ee458a90'}
[2026-07-14T10:58:39.911192] Pipeline run FAILED (task: parse_excel_to_bronze) - {'DAG Id': 'energy_pipeline_dag', 'Task Id': 'parse_excel_to_bronze', 'Run Id': 'scheduled__2026-07-14T10:15:00+00:00', 'Hostname': 'f293ee458a90'}
